"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol","is_sig_any","midday_dist","genus"
"381","Tetramorium immigrans",3,767,42.463768115942,15,0.000778709075252797,1.02141324137758e-05,11.9107597539429,9.57039811695325,13.8049928966915,6.9968235380892,6.19581203054424,8.53539133469482,17.3216283012511,20.8584809254555,19.3313474955916,21.3179880502181,21.2382556519727,20.9744298323852,22.0135042855857,FALSE,TRUE,TRUE,2.32162830125112,"Tetramorium"
"382","Prenolepis imparis",4,767,42.463768115942,9,0.1966777030307,0.0115237804711722,8.2563074845646,5.87384523873325,12.5677241614872,7.90405757698612,7.22538576046114,8.45927252295103,15.9668369844381,23.880416517451,16.7801488800891,26.6471854219999,18.875883968895,18.5358801231004,19.4975567576525,TRUE,TRUE,TRUE,0.966836984438077,"Prenolepis"
"383","Camponotus pennsylvanicus",2,767,42.463768115942,19,0.930271752706935,5.2476762640853e-07,6.78098723369749,5.05231069481328,10.4493972251266,7.37023748004674,6.19775562307594,7.62850531487357,14.3391811008209,21.1255061728994,17.6255369068413,23.8743810857831,20.7392790915134,19.5390574658802,21.5278312592378,TRUE,TRUE,TRUE,0.660818899179107,"Camponotus"
"384","Camponotus pennsylvanicus",3,767,42.463768115942,43,0.970726685821024,0.131019262221094,7.64797620960167,6.09436494098472,9.13261443449705,7.23863498049919,6.31571717238694,8.44664501317172,13.6241823054519,20.4239448518667,17.8082613857992,22.4467505209433,20.630476291102,19.6578672259835,21.3821802098085,TRUE,TRUE,FALSE,1.37581769454811,"Camponotus"
"385","Tapinoma sessile",2,767,42.463768115942,13,0.338750986098042,0.0913450956653876,5.55860181520003,2.84676270260541,10.8099128704014,7.59458537243839,7.49257401481702,8.53912636542933,15.2392140702351,23.8654213298179,18.1431679373045,25.9469692113177,19.6974088930539,18.97768830133,20.8883500101952,TRUE,TRUE,FALSE,0.239214070235091,"Tapinoma"
"386","Tapinoma sessile",3,767,42.463768115942,13,0.0110229057973577,0.000639781679853577,8.36156058750929,6.75406331884338,13.1163468493045,7.16868612017352,5.76950203033992,7.83379904347955,17.2516739345361,23.3234042253267,15.5130262920531,27.5492141702723,20.6613537999932,19.8985441934153,21.2357093550741,TRUE,TRUE,TRUE,2.25167393453611,"Tapinoma"
"387","Solenopsis invicta",1,738,24.4927536231884,9,0.51283604323079,0.000179995472820734,8.52138186176958,5.71428829971331,14.2143437864228,7.19162610829014,6.31917314285455,7.87042748366644,14.6813031642387,18.7864096139982,17.3305169504023,20.689181882305,18.3753938146706,17.4607143807949,19.2999096564303,TRUE,TRUE,TRUE,0.318696835761346,"Solenopsis"
"388","Paratrechina longicornis",1,738,24.4927536231884,9,0.134673932750283,5.78774942647216e-06,7.4890558069235,4.46012028842577,13.8070496039016,8.22390649026434,7.40024515495304,8.95643772490416,12.9471348563686,19.652802714564,17.6871666489856,20.0451271822133,17.2116913962788,16.7134985555876,17.5434878703218,TRUE,FALSE,TRUE,2.05286514363136,"Paratrechina"
"389","Camponotus floridanus",1,738,24.4927536231884,25,0.498139117014669,3.44206901467708e-10,4.78644889415059,2.06839127505209,6.68120160264501,6.50355346974058,6.10336403831157,7.42669557425756,12.3630018481386,21.0894681092383,18.2273928416205,24.6299044664939,18.7925342682228,17.4199986516259,19.3678893470329,TRUE,TRUE,TRUE,2.63699815186135,"Camponotus"
"390","Camponotus floridanus",2,738,24.4927536231884,26,0.124248619190572,0.0313593723154781,7.7802618914071,6.89566902671198,9.26815329099325,6.85102297278768,6.04315287372766,7.26677966012608,15.239763965046,22.4131715255519,20.6199791204235,24.1919373396687,19.8872410146347,19.056380961193,20.8227356359587,TRUE,TRUE,TRUE,0.239763965045963,"Camponotus"
"391","Camponotus floridanus",3,738,24.4927536231884,16,0.000552820119761762,0.00223627708716541,9.54306140033014,8.24010310372534,12.7262465115005,5.95868024684903,5.62978093676095,6.84687510502801,15.8158430869358,20.7128306049045,20.081567672373,23.1099922239091,18.4147327761071,17.8585414443281,19.6294628272498,FALSE,FALSE,TRUE,0.815843086935764,"Camponotus"
"392","Camponotus floridanus",4,738,24.4927536231884,23,0.00379648746742478,0.00260742105717259,8.16041585944864,6.89524958400025,12.6099763998823,8.10877209976957,7.52410688968989,8.5255211271966,16.2206763413032,23.5291327533575,21.5405216755382,23.9296979325472,19.1178505110062,18.6835111541286,19.7689267002304,TRUE,FALSE,TRUE,1.22067634130323,"Camponotus"
"393","Camponotus floridanus",2,741,31.231884057971,23,0.191348748693642,0.0625233063696461,7.57427347125089,6.37179524302104,8.52474594263616,7.46831432060525,6.81874099554499,8.2737744719701,14.0149949639747,19.4489820482751,16.753327023834,21.7742089932553,20.6166918043701,19.9411203383923,21.6074377878137,TRUE,TRUE,FALSE,0.985005036025338,"Camponotus"
